,count,missing,mean,std,min,25%,50%,75%,max
Vehicle_ID,3022.0,0,1511.5,872.5205823742307,1.0,756.25,1511.5,2266.75,3022.0
Year,3022.0,0,2020.0195234943747,3.1320833981636884,2015.0,2017.0,2020.0,2023.0,2025.0
Battery_Capacity_kWh,3022.0,0,84.31469225678359,37.21046134516421,20.0,52.425,83.6,115.8,150.0
Range_km,3022.0,0,349.90105890138983,145.40613876041368,100.0,222.0,347.0,478.0,600.0
Charge_Time_hr,3022.0,0,6.2120450033090675,3.350597211776467,0.5,3.3,6.2,9.1,12.0
Price_USD,3022.0,0,90611.90676042356,34654.5338376147,30014.46,61257.39,90929.705,120199.8425,149978.53
Autonomous_Level,3022.0,0,2.1508934480476505,1.8165804261808156,0.0,0.0,2.0,4.0,5.0
CO2_Emissions_g_per_km,2430.0,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Safety_Rating,3022.0,0,3.9956982131039047,0.772530732588609,3.0,3.0,4.0,5.0,5.0
Units_Sold_2024,3022.0,0,10207.072799470548,5771.61900283885,6.0,5145.5,10350.0,15128.0,19996.0
Warranty_Years,3022.0,0,3.99735274652548,0.8217457502844946,3.0,3.0,4.0,5.0,5.0
Vehicle_Age,3022.0,0,5.980476505625414,3.1320833981636884,1.0,3.0,6.0,9.0,11.0
Efficiency_Score,3022.0,0,5.444688922963481,4.267454357788412,0.6960716699099128,2.5951415945632617,4.070453700022856,6.707462188731137,28.823527998846668
Brand_Enc,3022.0,0,90611.90676042356,4723.01623282499,77373.57040816327,87915.62272727273,90885.67122807018,93420.14345454545,100310.19127272726
Model_Enc,3022.0,0,90611.90676042356,8004.45073998537,65471.71666666667,86099.98369565218,89798.2948275862,95098.76607142857,128826.35500000001
